iter	Passed	Remaining
0	174	174702
1	176	88302
2	178	59398
3	180	44934
4	182	36266
5	186	30852
6	188	26716
7	190	23605
8	192	21159
9	194	19210
10	195	17598
11	197	16278
12	200	15235
13	202	14281
14	204	13449
15	206	12674
16	207	11989
17	208	11376
18	209	10817
19	210	10313
20	211	9858
21	212	9448
22	213	9069
23	215	8759
24	216	8439
25	217	8145
26	218	7872
27	219	7617
28	220	7382
29	221	7165
30	222	6957
31	223	6763
32	224	6580
33	225	6407
34	226	6247
35	227	6093
36	229	5976
37	230	5844
38	231	5713
39	232	5587
40	233	5469
41	234	5357
42	235	5251
43	236	5148
44	237	5048
45	239	4960
46	240	4872
47	241	4788
48	242	4706
49	244	4648
50	245	4572
51	246	4500
52	248	4433
53	249	4367
54	250	4302
55	251	4237
56	252	4175
57	253	4114
58	254	4058
59	255	4004
60	256	3952
61	257	3900
62	259	3866
63	260	3816
64	261	3768
65	262	3721
66	263	3675
67	264	3630
68	265	3586
69	266	3544
70	267	3502
71	268	3462
72	269	3423
73	270	3385
74	271	3347
75	272	3311
76	273	3283
77	275	3254
78	276	3222
79	277	3188
80	277	3152
81	278	3121
82	279	3091
83	280	3061
84	281	3031
85	282	3003
86	283	2975
87	284	2949
88	285	2923
89	286	2896
90	287	2874
91	289	2858
92	290	2837
93	292	2814
94	293	2792
95	294	2769
96	295	2750
97	296	2728
98	297	2706
99	298	2685
100	299	2663
101	300	2643
102	301	2623
103	302	2603
104	303	2583
105	305	2577
106	306	2558
107	307	2539
108	308	2521
109	309	2503
110	310	2483
111	311	2466
112	312	2449
113	313	2433
114	314	2417
115	315	2400
116	315	2384
117	316	2369
118	317	2351
119	318	2336
120	320	2331
121	322	2317
122	322	2302
123	323	2288
124	324	2273
125	325	2259
126	326	2245
127	327	2232
128	328	2218
129	329	2205
130	330	2192
131	331	2179
132	332	2166
133	333	2154
134	334	2144
135	336	2135
136	337	2123
137	338	2112
138	339	2100
139	340	2090
140	341	2078
141	342	2067
142	343	2056
143	344	2045
144	344	2034
145	345	2023
146	346	2013
147	347	2002
148	348	1992
149	351	1989
150	352	1979
151	353	1969
152	353	1959
153	354	1949
154	355	1939
155	356	1930
156	357	1920
157	358	1911
158	359	1902
159	360	1893
160	361	1884
161	362	1875
162	363	1866
163	364	1857
164	366	1855
165	367	1846
166	368	1838
167	369	1829
168	370	1821
169	371	1812
170	372	1804
171	373	1796
172	374	1788
173	374	1779
174	375	1771
175	376	1763
176	377	1755
177	378	1748
178	379	1741
179	381	1740
180	382	1732
181	383	1725
182	384	1718
183	385	1710
184	386	1704
185	387	1697
186	388	1690
187	389	1683
188	390	1676
189	391	1669
190	392	1662
191	393	1655
192	394	1650
193	397	1649
194	398	1644
195	399	1638
196	400	1633
197	401	1627
198	402	1621
199	404	1616
200	405	1611
201	406	1605
202	407	1598
203	408	1592
204	409	1586
205	410	1580
206	412	1579
207	413	1575
208	415	1571
209	416	1566
210	417	1562
211	420	1564
212	423	1564
213	433	1593
214	438	1601
215	440	1597
216	441	1593
217	445	1596
218	446	1592
219	447	1588
220	449	1584
221	450	1580
222	452	1575
223	453	1571
224	455	1567
225	456	1564
226	459	1565
227	461	1561
228	462	1556
229	463	1552
230	465	1548
231	466	1544
232	467	1540
233	469	1535
234	470	1531
235	472	1528
236	475	1529
237	476	1526
238	478	1523
239	480	1520
240	481	1517
241	483	1514
242	485	1511
243	486	1507
244	488	1504
245	489	1501
246	491	1497
247	492	1492
248	493	1488
249	497	1493
250	499	1489
251	500	1484
252	501	1479
253	502	1475
254	505	1476
255	506	1472
256	508	1468
257	509	1464
258	510	1460
259	511	1457
260	513	1453
261	514	1450
262	515	1445
263	516	1441
264	520	1444
265	522	1441
266	523	1437
267	525	1434
268	526	1429
269	527	1425
270	528	1421
271	529	1416
272	530	1412
273	531	1408
274	532	1404
275	536	1406
276	537	1402
277	538	1398
278	539	1394
279	540	1389
280	541	1385
281	542	1381
282	543	1377
283	544	1373
284	545	1369
285	546	1365
286	548	1361
287	551	1363
288	552	1359
289	553	1355
290	554	1351
291	555	1348
292	557	1344
293	558	1340
294	559	1336
295	560	1332
296	561	1328
297	562	1324
298	563	1321
299	566	1322
300	568	1321
301	570	1318
302	571	1314
303	572	1310
304	573	1307
305	574	1303
306	575	1298
307	576	1295
308	577	1291
309	578	1287
310	579	1283
311	581	1283
312	583	1280
